Level,MetricName,ParentCategory,CountDomain,UnitOfMeasure,Formula,BaseFormula,Events,Constants,ResolutionLevels,MetricGroup
4,Contested_Accesses,L3_Bound,Clocks_Estimated,percent,100 * ( ( ( ( 81 * ( ( ( a ) / b ) * c / ( 1000000000 ) / ( ( durationtimeinmilliseconds / 1000 ) ) ) ) - ( 4.4 * ( ( ( a ) / b ) * c / ( 1000000000 ) / ( ( durationtimeinmilliseconds / 1000 ) ) ) ) ) * ( e * ( f / ( f + g ) ) ) + ( ( 79 * ( ( ( a ) / b ) * c / ( 1000000000 ) / ( ( durationtimeinmilliseconds / 1000 ) ) ) ) - ( 4.4 * ( ( ( a ) / b ) * c / ( 1000000000 ) / ( ( durationtimeinmilliseconds / 1000 ) ) ) ) ) * ( h ) ) * ( 1 + ( i / j ) / 2 ) / ( a ) ),( ( ( 81 * tma_info_system_core_frequency ) - ( 4.4 * tma_info_system_core_frequency ) ) * ( mem_load_l3_hit_retired.xsnp_fwd * ( ocr.demand_data_rd.l3_hit.snoop_hitm / ( ocr.demand_data_rd.l3_hit.snoop_hitm + ocr.demand_data_rd.l3_hit.snoop_hit_with_fwd ) ) ) + ( ( 79 * tma_info_system_core_frequency ) - ( 4.4 * tma_info_system_core_frequency ) ) * ( mem_load_l3_hit_retired.xsnp_miss ) ) * ( 1 + ( mem_load_retired.fb_hit / mem_load_retired.l1_miss ) / 2 ) / tma_info_thread_clks,a=CPU_CLK_UNHALTED.THREAD;b=CPU_CLK_UNHALTED.REF_TSC;e=MEM_LOAD_L3_HIT_RETIRED.XSNP_FWD;f=OCR.DEMAND_DATA_RD.L3_HIT.SNOOP_HITM;g=OCR.DEMAND_DATA_RD.L3_HIT.SNOOP_HIT_WITH_FWD;h=MEM_LOAD_L3_HIT_RETIRED.XSNP_MISS;i=MEM_LOAD_RETIRED.FB_HIT;j=MEM_LOAD_RETIRED.L1_MISS,c=SYSTEM_TSC_FREQ;durationtimeinmilliseconds=DURATIONTIMEINMILLISECONDS,"THREAD, CORE, SOCKET, SYSTEM",BvMS;DataSharing;LockCont;Offcore;Snoop
4,DTLB_Load,L1_Bound,Clocks_Estimated,percent,"100 * ( min( ( 7 ) * a + b , max( c - d , 0 ) ) / ( e ) )","min( ( 7 ) * dtlb_load_misses.stlb_hit:c1 + dtlb_load_misses.walk_active , max( cycle_activity.cycles_mem_any - memory_activity.cycles_l1d_miss , 0 ) ) / tma_info_thread_clks",a=DTLB_LOAD_MISSES.STLB_HIT:c1;b=DTLB_LOAD_MISSES.WALK_ACTIVE;c=CYCLE_ACTIVITY.CYCLES_MEM_ANY;d=MEMORY_ACTIVITY.CYCLES_L1D_MISS;e=CPU_CLK_UNHALTED.THREAD,,"THREAD, CORE, SOCKET, SYSTEM",BvMT;MemoryTLB
4,DTLB_Store,Store_Bound,Clocks_Estimated,percent,100 * ( ( ( 7 ) * a + b ) / ( c if smt_on else ( d ) ) ),( ( 7 ) * dtlb_store_misses.stlb_hit:c1 + dtlb_store_misses.walk_active ) / tma_info_core_core_clks,a=DTLB_STORE_MISSES.STLB_HIT:c1;b=DTLB_STORE_MISSES.WALK_ACTIVE;c=CPU_CLK_UNHALTED.DISTRIBUTED;d=CPU_CLK_UNHALTED.THREAD,smt_on=HYPERTHREADING_ON;threads=THREADS_PER_CORE,"THREAD, CORE, SOCKET, SYSTEM",BvMT;MemoryTLB
4,Data_Sharing,L3_Bound,Clocks_Estimated,percent,100 * ( ( ( 79 * ( ( ( a ) / b ) * c / ( 1000000000 ) / ( ( durationtimeinmilliseconds / 1000 ) ) ) ) - ( 4.4 * ( ( ( a ) / b ) * c / ( 1000000000 ) / ( ( durationtimeinmilliseconds / 1000 ) ) ) ) ) * ( e + f * ( 1 - ( g / ( g + h ) ) ) ) * ( 1 + ( i / j ) / 2 ) / ( a ) ),( ( 79 * tma_info_system_core_frequency ) - ( 4.4 * tma_info_system_core_frequency ) ) * ( mem_load_l3_hit_retired.xsnp_no_fwd + mem_load_l3_hit_retired.xsnp_fwd * ( 1 - ( ocr.demand_data_rd.l3_hit.snoop_hitm / ( ocr.demand_data_rd.l3_hit.snoop_hitm + ocr.demand_data_rd.l3_hit.snoop_hit_with_fwd ) ) ) ) * ( 1 + ( mem_load_retired.fb_hit / mem_load_retired.l1_miss ) / 2 ) / tma_info_thread_clks,a=CPU_CLK_UNHALTED.THREAD;b=CPU_CLK_UNHALTED.REF_TSC;e=MEM_LOAD_L3_HIT_RETIRED.XSNP_NO_FWD;f=MEM_LOAD_L3_HIT_RETIRED.XSNP_FWD;g=OCR.DEMAND_DATA_RD.L3_HIT.SNOOP_HITM;h=OCR.DEMAND_DATA_RD.L3_HIT.SNOOP_HIT_WITH_FWD;i=MEM_LOAD_RETIRED.FB_HIT;j=MEM_LOAD_RETIRED.L1_MISS,c=SYSTEM_TSC_FREQ;durationtimeinmilliseconds=DURATIONTIMEINMILLISECONDS,"THREAD, CORE, SOCKET, SYSTEM",BvMS;Offcore;Snoop
4,Decoder0_Alone,MITE,Slots_Estimated,percent,100 * ( ( a - b ) / ( c if smt_on else ( d ) ) / 2 ),( inst_decoded.decoders:c1 - inst_decoded.decoders:c2 ) / tma_info_core_core_clks / 2,a=INST_DECODED.DECODERS:c1;b=INST_DECODED.DECODERS:c2;c=CPU_CLK_UNHALTED.DISTRIBUTED;d=CPU_CLK_UNHALTED.THREAD,smt_on=HYPERTHREADING_ON;threads=THREADS_PER_CORE,"THREAD, CORE, SOCKET, SYSTEM",DSBmiss;FetchBW
4,FB_Full,L1_Bound,Clocks_Calculated,percent,100 * ( a / ( b ) ),l1d_pend_miss.fb_full / tma_info_thread_clks,a=L1D_PEND_MISS.FB_FULL;b=CPU_CLK_UNHALTED.THREAD,,"THREAD, CORE, SOCKET, SYSTEM",BvMB;MemoryBW
4,FP_Divider,Divider,Clocks,percent,100 * ( a / ( b ) ),arith.fpdiv_active / tma_info_thread_clks,a=ARITH.FPDIV_ACTIVE;b=CPU_CLK_UNHALTED.THREAD,,"THREAD, CORE, SOCKET, SYSTEM",
4,FP_Scalar,FP_Arith,Uops,percent,100 * ( ( a + b ) / ( ( c / ( d + e + c + f ) ) * ( g ) ) ),( fp_arith_inst_retired.scalar + fp_arith_inst_retired2.scalar ) / ( tma_retiring * tma_info_thread_slots ),a=FP_ARITH_INST_RETIRED.SCALAR;b=FP_ARITH_INST_RETIRED2.SCALAR;c=PERF_METRICS.RETIRING;d=PERF_METRICS.FRONTEND_BOUND;e=PERF_METRICS.BAD_SPECULATION;f=PERF_METRICS.BACKEND_BOUND;g=TOPDOWN.SLOTS:perf_metrics,,"THREAD, CORE, SOCKET, SYSTEM",Compute;Flops
4,FP_Vector,FP_Arith,Uops,percent,100 * ( ( a + b ) / ( ( c / ( d + e + c + f ) ) * ( g ) ) ),( fp_arith_inst_retired.vector + fp_arith_inst_retired2.vector ) / ( tma_retiring * tma_info_thread_slots ),a=FP_ARITH_INST_RETIRED.VECTOR;b=FP_ARITH_INST_RETIRED2.VECTOR;c=PERF_METRICS.RETIRING;d=PERF_METRICS.FRONTEND_BOUND;e=PERF_METRICS.BAD_SPECULATION;f=PERF_METRICS.BACKEND_BOUND;g=TOPDOWN.SLOTS:perf_metrics,,"THREAD, CORE, SOCKET, SYSTEM",Compute;Flops
4,False_Sharing,Store_Bound,Clocks_Estimated,percent,100 * ( ( ( 170 * ( ( ( a ) / b ) * c / ( 1000000000 ) / ( ( durationtimeinmilliseconds / 1000 ) ) ) ) * e + ( 81 * ( ( ( a ) / b ) * c / ( 1000000000 ) / ( ( durationtimeinmilliseconds / 1000 ) ) ) ) * f ) / ( a ) ),( ( 170 * tma_info_system_core_frequency ) * ocr.demand_rfo.l3_miss:ocr_msr_val=0x103b800002 + ( 81 * tma_info_system_core_frequency ) * ocr.demand_rfo.l3_hit.snoop_hitm ) / tma_info_thread_clks,a=CPU_CLK_UNHALTED.THREAD;b=CPU_CLK_UNHALTED.REF_TSC;e=OCR.DEMAND_RFO.L3_MISS:ocr_msr_val=0x103b800002;f=OCR.DEMAND_RFO.L3_HIT.SNOOP_HITM,c=SYSTEM_TSC_FREQ;durationtimeinmilliseconds=DURATIONTIMEINMILLISECONDS,"THREAD, CORE, SOCKET, SYSTEM",BvMS;DataSharing;LockCont;Offcore;Snoop
4,INT_Divider,Divider,Clocks,percent,100 * ( ( a / ( b ) ) - ( c / ( b ) ) ),tma_divider - tma_fp_divider,a=ARITH.DIV_ACTIVE;b=CPU_CLK_UNHALTED.THREAD;c=ARITH.FPDIV_ACTIVE,,"THREAD, CORE, SOCKET, SYSTEM",
4,Int_Vector_128b,Int_Operations,Uops,percent,100 * ( ( a + b ) / ( ( c / ( d + e + c + f ) ) * ( g ) ) ),( int_vec_retired.add_128 + int_vec_retired.vnni_128 ) / ( tma_retiring * tma_info_thread_slots ),a=INT_VEC_RETIRED.ADD_128;b=INT_VEC_RETIRED.VNNI_128;c=PERF_METRICS.RETIRING;d=PERF_METRICS.FRONTEND_BOUND;e=PERF_METRICS.BAD_SPECULATION;f=PERF_METRICS.BACKEND_BOUND;g=TOPDOWN.SLOTS:perf_metrics,,"THREAD, CORE, SOCKET, SYSTEM",Compute;IntVector;Pipeline
4,Int_Vector_256b,Int_Operations,Uops,percent,100 * ( ( a + b + c ) / ( ( d / ( e + f + d + g ) ) * ( h ) ) ),( int_vec_retired.add_256 + int_vec_retired.mul_256 + int_vec_retired.vnni_256 ) / ( tma_retiring * tma_info_thread_slots ),a=INT_VEC_RETIRED.ADD_256;b=INT_VEC_RETIRED.MUL_256;c=INT_VEC_RETIRED.VNNI_256;d=PERF_METRICS.RETIRING;e=PERF_METRICS.FRONTEND_BOUND;f=PERF_METRICS.BAD_SPECULATION;g=PERF_METRICS.BACKEND_BOUND;h=TOPDOWN.SLOTS:perf_metrics,,"THREAD, CORE, SOCKET, SYSTEM",Compute;IntVector;Pipeline
4,L1_Latency_Dependency,L1_Bound,Clocks_Estimated,percent,"100 * ( min( 2 * ( a - b - c ) * dependentloadsweight / 100 , max( e - f , 0 ) ) / ( g ) )","min( 2 * ( mem_inst_retired.all_loads - mem_load_retired.fb_hit - mem_load_retired.l1_miss ) * 20 / 100 , max( cycle_activity.cycles_mem_any - memory_activity.cycles_l1d_miss , 0 ) ) / tma_info_thread_clks",a=MEM_INST_RETIRED.ALL_LOADS;b=MEM_LOAD_RETIRED.FB_HIT;c=MEM_LOAD_RETIRED.L1_MISS;e=CYCLE_ACTIVITY.CYCLES_MEM_ANY;f=MEMORY_ACTIVITY.CYCLES_L1D_MISS;g=CPU_CLK_UNHALTED.THREAD,dependentloadsweight=20,"THREAD, CORE, SOCKET, SYSTEM",BvML;MemoryLat
4,L2_Hit_Latency,L2_Bound,Clocks_Retired,percent,100 * ( ( 4.4 * ( ( ( a ) / b ) * c / ( 1000000000 ) / ( ( durationtimeinmilliseconds / 1000 ) ) ) ) * e * ( 1 + ( f / g ) / 2 ) / ( a ) ),( 4.4 * tma_info_system_core_frequency ) * mem_load_retired.l2_hit * ( 1 + ( mem_load_retired.fb_hit / mem_load_retired.l1_miss ) / 2 ) / tma_info_thread_clks,a=CPU_CLK_UNHALTED.THREAD;b=CPU_CLK_UNHALTED.REF_TSC;e=MEM_LOAD_RETIRED.L2_HIT;f=MEM_LOAD_RETIRED.FB_HIT;g=MEM_LOAD_RETIRED.L1_MISS,c=SYSTEM_TSC_FREQ;durationtimeinmilliseconds=DURATIONTIMEINMILLISECONDS,"THREAD, CORE, SOCKET, SYSTEM",MemoryLat
4,L3_Hit_Latency,L3_Bound,Clocks_Estimated,percent,100 * ( ( ( 37 * ( ( ( a ) / b ) * c / ( 1000000000 ) / ( ( durationtimeinmilliseconds / 1000 ) ) ) ) - ( 4.4 * ( ( ( a ) / b ) * c / ( 1000000000 ) / ( ( durationtimeinmilliseconds / 1000 ) ) ) ) ) * ( e * ( 1 + ( f / g ) / 2 ) ) / ( a ) ),( ( 37 * tma_info_system_core_frequency ) - ( 4.4 * tma_info_system_core_frequency ) ) * ( mem_load_retired.l3_hit * ( 1 + ( mem_load_retired.fb_hit / mem_load_retired.l1_miss ) / 2 ) ) / tma_info_thread_clks,a=CPU_CLK_UNHALTED.THREAD;b=CPU_CLK_UNHALTED.REF_TSC;e=MEM_LOAD_RETIRED.L3_HIT;f=MEM_LOAD_RETIRED.FB_HIT;g=MEM_LOAD_RETIRED.L1_MISS,c=SYSTEM_TSC_FREQ;durationtimeinmilliseconds=DURATIONTIMEINMILLISECONDS,"THREAD, CORE, SOCKET, SYSTEM",BvML;MemoryLat
4,Lock_Latency,L1_Bound,Clocks,percent,100 * ( a / ( b ) ),lock_cycles.cache_lock_duration / tma_info_thread_clks,a=LOCK_CYCLES.CACHE_LOCK_DURATION;b=CPU_CLK_UNHALTED.THREAD,,"THREAD, CORE, SOCKET, SYSTEM",LockCont;Offcore
4,MEM_Bandwidth,L3_Miss_Bound,Clocks,percent,"100 * ( ( min( a , b ) ) / ( a ) )","( min( cpu_clk_unhalted.thread , offcore_requests_outstanding.all_data_rd:c12 ) ) / tma_info_thread_clks",a=CPU_CLK_UNHALTED.THREAD;b=OFFCORE_REQUESTS_OUTSTANDING.ALL_DATA_RD:c12,,"THREAD, CORE, SOCKET, SYSTEM",BvMB;MemoryBW;Offcore
4,MEM_Latency,L3_Miss_Bound,Clocks,percent,"100 * ( ( min( a , b ) ) / ( a ) - ( ( min( a , c ) ) / ( a ) ) )","( min( cpu_clk_unhalted.thread , offcore_requests_outstanding.cycles_with_data_rd ) ) / tma_info_thread_clks - tma_mem_bandwidth",a=CPU_CLK_UNHALTED.THREAD;b=OFFCORE_REQUESTS_OUTSTANDING.CYCLES_WITH_DATA_RD;c=OFFCORE_REQUESTS_OUTSTANDING.ALL_DATA_RD:c12,,"THREAD, CORE, SOCKET, SYSTEM",BvML;MemoryLat;Offcore
4,Memory_Fence,Serializing_Operation,Clocks,percent,100 * ( 13 * a / ( b ) ),13 * misc2_retired.lfence / tma_info_thread_clks,a=MISC2_RETIRED.LFENCE;b=CPU_CLK_UNHALTED.THREAD,,"THREAD, CORE, SOCKET, SYSTEM",
4,Mispredicts_Resteers,Branch_Resteers,Clocks,percent,"100 * ( ( ( a / ( b + c + d + e ) ) / ( max( 1 - ( ( b / ( b + c + d + e ) - f / ( g ) ) + ( e / ( b + c + d + e ) ) + ( d / ( b + c + d + e ) ) ) , 0 ) ) ) * h / ( i ) )",( tma_branch_mispredicts / tma_bad_speculation ) * int_misc.clear_resteer_cycles / tma_info_thread_clks,a=PERF_METRICS.BRANCH_MISPREDICTS;b=PERF_METRICS.FRONTEND_BOUND;c=PERF_METRICS.BAD_SPECULATION;d=PERF_METRICS.RETIRING;e=PERF_METRICS.BACKEND_BOUND;f=INT_MISC.UOP_DROPPING;g=TOPDOWN.SLOTS:perf_metrics;h=INT_MISC.CLEAR_RESTEER_CYCLES;i=CPU_CLK_UNHALTED.THREAD,,"THREAD, CORE, SOCKET, SYSTEM",BadSpec;BrMispredicts;BvMP
4,Nop_Instructions,Other_Light_Ops,Slots,percent,"100 * ( ( max( 0 , ( a / ( b + c + a + d ) ) - ( e / ( b + c + a + d ) ) ) ) * f / ( ( a / ( b + c + a + d ) ) * ( g ) ) )",tma_light_operations * inst_retired.nop / ( tma_retiring * tma_info_thread_slots ),a=PERF_METRICS.RETIRING;b=PERF_METRICS.FRONTEND_BOUND;c=PERF_METRICS.BAD_SPECULATION;d=PERF_METRICS.BACKEND_BOUND;e=PERF_METRICS.HEAVY_OPERATIONS;f=INST_RETIRED.NOP;g=TOPDOWN.SLOTS:perf_metrics,,"THREAD, CORE, SOCKET, SYSTEM",BvBO;Pipeline
4,Ports_Utilized_0,Ports_Utilization,Clocks,percent,"100 * ( ( a + max( b - c , 0 ) ) / ( d ) * ( e - f ) / ( d ) )","( exe_activity.exe_bound_0_ports + max( rs.empty_resource - resource_stalls.scoreboard , 0 ) ) / tma_info_thread_clks * ( cycle_activity.stalls_total - exe_activity.bound_on_loads ) / tma_info_thread_clks",a=EXE_ACTIVITY.EXE_BOUND_0_PORTS;b=RS.EMPTY_RESOURCE;c=RESOURCE_STALLS.SCOREBOARD;d=CPU_CLK_UNHALTED.THREAD;e=CYCLE_ACTIVITY.STALLS_TOTAL;f=EXE_ACTIVITY.BOUND_ON_LOADS,,"THREAD, CORE, SOCKET, SYSTEM",PortsUtil
4,Ports_Utilized_1,Ports_Utilization,Clocks,percent,100 * ( a / ( b ) ),exe_activity.1_ports_util / tma_info_thread_clks,a=EXE_ACTIVITY.1_PORTS_UTIL;b=CPU_CLK_UNHALTED.THREAD,,"THREAD, CORE, SOCKET, SYSTEM",PortsUtil
4,Ports_Utilized_2,Ports_Utilization,Clocks,percent,100 * ( a / ( b ) ),exe_activity.2_ports_util / tma_info_thread_clks,a=EXE_ACTIVITY.2_PORTS_UTIL;b=CPU_CLK_UNHALTED.THREAD,,"THREAD, CORE, SOCKET, SYSTEM",PortsUtil
4,Ports_Utilized_3m,Ports_Utilization,Clocks,percent,100 * ( a / ( b ) ),uops_executed.cycles_ge_3 / tma_info_thread_clks,a=UOPS_EXECUTED.CYCLES_GE_3;b=CPU_CLK_UNHALTED.THREAD,,"THREAD, CORE, SOCKET, SYSTEM",BvCB;PortsUtil
4,SQ_Full,L3_Bound,Clocks,percent,100 * ( ( a + b ) / ( c ) ),( xq.full_cycles + l1d_pend_miss.l2_stalls ) / tma_info_thread_clks,a=XQ.FULL_CYCLES;b=L1D_PEND_MISS.L2_STALLS;c=CPU_CLK_UNHALTED.THREAD,,"THREAD, CORE, SOCKET, SYSTEM",BvMB;MemoryBW;Offcore
4,Shuffles_256b,Other_Light_Ops,Slots,percent,"100 * ( ( max( 0 , ( a / ( b + c + a + d ) ) - ( e / ( b + c + a + d ) ) ) ) * f / ( ( a / ( b + c + a + d ) ) * ( g ) ) )",tma_light_operations * int_vec_retired.shuffles / ( tma_retiring * tma_info_thread_slots ),a=PERF_METRICS.RETIRING;b=PERF_METRICS.FRONTEND_BOUND;c=PERF_METRICS.BAD_SPECULATION;d=PERF_METRICS.BACKEND_BOUND;e=PERF_METRICS.HEAVY_OPERATIONS;f=INT_VEC_RETIRED.SHUFFLES;g=TOPDOWN.SLOTS:perf_metrics,,"THREAD, CORE, SOCKET, SYSTEM",HPC;Pipeline
4,Slow_Pause,Serializing_Operation,Clocks,percent,100 * ( a / ( b ) ),cpu_clk_unhalted.pause / tma_info_thread_clks,a=CPU_CLK_UNHALTED.PAUSE;b=CPU_CLK_UNHALTED.THREAD,,"THREAD, CORE, SOCKET, SYSTEM",
4,Split_Loads,L1_Bound,Clocks_Calculated,percent,100 * ( a * ( b / c ) / ( d ) ),mem_inst_retired.split_loads * tma_info_memory_load_miss_real_latency / tma_info_thread_clks,a=MEM_INST_RETIRED.SPLIT_LOADS;b=L1D_PEND_MISS.PENDING;c=MEM_LOAD_COMPLETED.L1_MISS_ANY;d=CPU_CLK_UNHALTED.THREAD,,"THREAD, CORE, SOCKET, SYSTEM",
4,Split_Stores,Store_Bound,Core_Utilization,percent,100 * ( a / ( b if smt_on else ( c ) ) ),mem_inst_retired.split_stores / tma_info_core_core_clks,a=MEM_INST_RETIRED.SPLIT_STORES;b=CPU_CLK_UNHALTED.DISTRIBUTED;c=CPU_CLK_UNHALTED.THREAD,smt_on=HYPERTHREADING_ON;threads=THREADS_PER_CORE,"THREAD, CORE, SOCKET, SYSTEM",
4,Store_Fwd_Blk,L1_Bound,Clocks_Estimated,percent,100 * ( 13 * a / ( b ) ),13 * ld_blocks.store_forward / tma_info_thread_clks,a=LD_BLOCKS.STORE_FORWARD;b=CPU_CLK_UNHALTED.THREAD,,"THREAD, CORE, SOCKET, SYSTEM",
4,Store_Latency,Store_Bound,Clocks_Estimated,percent,"100 * ( ( ( a * ( 10 ) * ( 1 - ( b / c ) ) ) + ( 1 - ( b / c ) ) * ( min( d , e ) ) ) / ( d ) )","( ( mem_store_retired.l2_hit * ( 10 ) * ( 1 - ( mem_inst_retired.lock_loads / mem_inst_retired.all_stores ) ) ) + ( 1 - ( mem_inst_retired.lock_loads / mem_inst_retired.all_stores ) ) * ( min( cpu_clk_unhalted.thread , offcore_requests_outstanding.cycles_with_demand_rfo ) ) ) / tma_info_thread_clks",a=MEM_STORE_RETIRED.L2_HIT;b=MEM_INST_RETIRED.LOCK_LOADS;c=MEM_INST_RETIRED.ALL_STORES;d=CPU_CLK_UNHALTED.THREAD;e=OFFCORE_REQUESTS_OUTSTANDING.CYCLES_WITH_DEMAND_RFO,,"THREAD, CORE, SOCKET, SYSTEM",BvML;LockCont;MemoryLat;Offcore
4,Streaming_Stores,Store_Bound,Clocks_Estimated,percent,100 * ( 9 * a / ( b ) ),9 * ocr.streaming_wr.any_response / tma_info_thread_clks,a=OCR.STREAMING_WR.ANY_RESPONSE;b=CPU_CLK_UNHALTED.THREAD,,"THREAD, CORE, SOCKET, SYSTEM",MemoryBW;Offcore
4,Unknown_Branches,Branch_Resteers,Clocks,percent,100 * ( a / ( b ) ),int_misc.unknown_branch_cycles / tma_info_thread_clks,a=INT_MISC.UNKNOWN_BRANCH_CYCLES;b=CPU_CLK_UNHALTED.THREAD,,"THREAD, CORE, SOCKET, SYSTEM",BigFootprint;BvBC;FetchLat
4,X87_Use,FP_Arith,Uops,percent,100 * ( ( a / ( b + c + a + d ) ) * e / f ),tma_retiring * uops_executed.x87 / uops_executed.thread,a=PERF_METRICS.RETIRING;b=PERF_METRICS.FRONTEND_BOUND;c=PERF_METRICS.BAD_SPECULATION;d=PERF_METRICS.BACKEND_BOUND;e=UOPS_EXECUTED.X87;f=UOPS_EXECUTED.THREAD,,"THREAD, CORE, SOCKET, SYSTEM",Compute
